Restaurant Name,Neighborhood,Cuisine Type,Address,Phone,Email,Website,Yelp URL,Private Dining / Event Info,Approximate Capacity,Notes
Union Restaurant,Old Town Pasadena,Italian / New American,"37 E Union St, Pasadena, CA 91103",(626) 795-5841,,https://www.unionpasadena.com/,https://www.yelp.com/biz/union-pasadena,"Contact restaurant directly",~60 seats,Michelin Bib Gourmand. All pasta made in-house.
Agnes Restaurant & Cheesery,Old Town Pasadena,New American / Cheese-focused,"40 W Green St, Pasadena, CA 91105",(626) 389-3839,saycheese@agnesla.com,https://www.agnesla.com/,https://www.yelp.com/biz/agnes-restaurant-and-cheesery-pasadena,"Contact restaurant for private events",~80 seats,Michelin Guide Recommended 2024. Former 1922 fire station horse stable.
The Arbour,South Lake Avenue Pasadena,New American / Farm-to-Table,"527 S Lake Ave, Ste 120, Pasadena, CA 91101",(626) 396-4925,info@thearbourpasadena.com,https://www.thearbourpasadena.com/,https://www.yelp.com/biz/the-arbour-pasadena-2,"Contact restaurant",~60 seats,Chef Ian Gresik. Known for spicy beef chili candle appetizer.
The Raymond 1886,South Pasadena border,New American,"1250 S Fair Oaks Ave, Pasadena, CA 91105",(626) 441-3136,info@theraymond.com,https://theraymond1886.com/,https://www.yelp.com/biz/the-raymond-1886-pasadena,"Yes -- Grand Patio (70 seated/100 cocktail); Fireside Terrace (40/50); Cactus Garden (25/35); 1886 Bar (25); Sunroom (25/35)","Up to ~100 cocktail",Historic property. Brunch events $65-85/pp; dinner $85-110/pp.
Arroyo Chop House,Arroyo Parkway Pasadena,Steakhouse (USDA Prime),"536 S Arroyo Pkwy, Pasadena, CA 91105",(626) 577-7463,party@arroyochophouse.com,https://www.arroyochophouse.com/,https://www.yelp.com/biz/arroyo-chop-house-pasadena,"Yes -- Arroyo Room; Prime Room; Covered Patio; Combined up to 80",Up to 80,40+ year Pasadena institution. Also available for film/TV location shoots.
Alexander's Steakhouse,Downtown Pasadena,Fine Dining Steakhouse / Japanese,"111 N Los Robles Ave, Pasadena, CA 91101",(626) 486-1111,contact.pas@alexanderssteakhouse.com,https://alexanderssteakhouse.com/pasadena/,https://www.yelp.com/biz/alexanders-steakhouse-pasadena-pasadena-3,"Yes -- West Room; East+West Combined; Patio; Front Dining Room; Full Buyout",Full buyout available,20 years of Wagyu mastery. Pioneers of authentic Wagyu in California.
Cafe Santorini,Old Town Pasadena,Mediterranean,"64 W Union St, Pasadena, CA 91103",(626) 564-4200,,https://cafesantorini.com/,https://www.yelp.com/biz/caf%C3%A9-santorini-pasadena-2,"Rooftop patio available for events",~120 (indoor + rooftop),Open since 1993. Romantic rooftop patio dining.
Bone Kettle,Old Town Pasadena,Southeast Asian,"67 N Raymond Ave, Pasadena, CA 91103",(626) 765-3788,,https://www.bonekettle.com/,https://www.yelp.com/biz/bone-kettle-pasadena,"Contact for semi-private options",~50 seats,Family-run. Famous for bone broth boiled 36 hours.
Celestino Ristorante & Bar,South Lake Avenue Pasadena,Italian,"141 S Lake Ave, Pasadena, CA 91101",(626) 795-4006,info@celestinopasadena.com,https://celestinopasadena.com/,https://www.yelp.com/biz/celestino-pasadena,"Yes -- Garden View Room seats up to 55; no upcharge",55 (private room),20+ years. Drago restaurant family.
Dos Besos,Old Town Pasadena,Spanish (Tapas/Paella),"99 Union St, Pasadena, CA 91103",(626) 696-3741,dosbesospasadena@gmail.com,https://thedosbesos.com/,https://www.yelp.com/biz/dos-besos-pasadena,"Contact for full buyout options",~30-40 seats,Chef Alejandro Llobet (Barcelona-born). 4.8/5 rating.
