Restaurant Name,Neighborhood,Cuisine Type,Address,Phone,Email,Website,Yelp URL,Private Dining / Event Info,Approximate Capacity,Notes
Providence,Hollywood,Modern American Seafood (Fine Dining),"5955 Melrose Ave, Los Angeles, CA 90038",(323) 460-4170,info@providencela.com,https://providencela.com/,https://www.yelp.com/biz/providence-los-angeles-2,"Private Room; Chef's Table; Full Bar; BYO Wine",,3 Michelin Stars (2025). One of LA's most acclaimed restaurants.
Mother Wolf,Hollywood,Italian (Roman-inspired),"1545 Wilcox Ave, Los Angeles, CA 90028",(323) 515-1077,info@motherwolfla.com,https://motherwolfla.com/,https://www.yelp.com/biz/mother-wolf-los-angeles,"Romulus (22 guests); Remus (10 guests); Bar Avoja; Full buyout (350)","350 (full buyout)",Chef Evan Funke. Best New Restaurants in the World by Conde Nast Traveler.
Ka'teen,Hollywood,Modern Mexican / Yucatan,"6516 Selma Ave, Los Angeles, CA 90028",(323) 410-6360,reservations@kateenla.com,https://www.kateenla.com/,https://www.yelp.com/biz/kateen-los-angeles-2,"5000 sq ft tropical oasis with Special Events Deck","5000 sq ft",Chef Wes Avila. Michelin Guide and James Beard recognized.
Yamashiro Hollywood,Hollywood Hills,Japanese / Pan-Asian,"1999 N Sycamore Ave, Los Angeles, CA 90068",(323) 466-5125,info@yamashirohollywood.com,https://yamashirohollywood.com/,https://www.yelp.com/biz/yamashiro-hollywood-los-angeles,"Skyview Room (60 seated/90 reception); Sunset Dining (65); Koi (30 seated/40 reception); Garden Courtyard; Full buyout (1000)","Up to 1000 (full buyout)",Built 1911. 22000 sq ft. Events range $2050-$17500 for 50 guests.
Luv2eat Thai Bistro,Hollywood,Thai,"6660 W Sunset Blvd, Los Angeles, CA 90028",(323) 498-5835,luv2eat.thaibistro@gmail.com,https://luv2eatthaibistro.com/,https://www.yelp.com/biz/luv2eat-thai-bistro-los-angeles,"Not publicly listed",,Michelin Guide. 2024 James Beard Semifinalist. Established 2014.
Salt's Cure,Hollywood,New American / Brunch,"1155 N Highland Ave, Los Angeles, CA 90038",(323) 380-7148,west@saltscure.com,https://www.saltscure.com/,https://www.yelp.com/biz/salts-cure-los-angeles,"Not publicly listed",,All California-sourced ingredients. Opened 2010.
L'Antica Pizzeria Da Michele,Hollywood,Neapolitan Pizza,"1534 N McCadden Pl, Los Angeles, CA 90028",(323) 366-2408,info@damicheleusa.com,https://damicheleusa.com/,https://www.yelp.com/biz/l-antica-pizzeria-da-michele-los-angeles-2,"Call to inquire",,Heritage dating to 1870 in Naples.
Marino Ristorante,Hollywood,Italian,"6001 Melrose Ave, Los Angeles, CA 90038",(323) 466-8812,info@marinorestaurant.com,https://marinorestaurant.com/,https://www.yelp.com/biz/marino-restaurant-los-angeles,"Private room with own entrance; seats up to 35",35 (private room),Family-owned since the 1950s. 4.9 stars OpenTable.
Somni,West Hollywood,Modernist Spanish (Fine Dining),"9045 Nemo St, West Hollywood, CA 90069",,info@somnirestaurant.com,https://www.somnirestaurant.com/,https://www.yelp.com/biz/somni-west-hollywood-2,"Cellar Experience: private room up to 6 guests","14 seats (Chef's Counter); 6 (Cellar)",3 Michelin Stars. $1595/person. Chef Aitor Zabala.
Nobu Los Angeles,West Hollywood,Japanese Fine Dining,"903 N La Cienega Blvd, Los Angeles, CA 90069",(310) 657-5711,losangeles.events@noburestaurants.com,https://noburestaurants.com/losangeles/home,https://www.yelp.com/biz/nobu-los-angeles-los-angeles,"Full buyout: 4000 sq ft. Main Dining: 85-130 seated. Outdoor: 100 guests.","85-130 (main); 100 (outdoor)",50% deposit required. 5% Events Fee.
CATCH LA,West Hollywood,Seafood / Sushi / Steak,"8715 Melrose Ave, West Hollywood, CA 90069",(323) 347-6060,westcoastevents@CatchHG.com,https://www.catchrestaurants.com/location/catch-la/,https://www.yelp.com/biz/catch-west-hollywood,"Multiple private/semi-private spaces. Events from $200/person.","340 seats total",Rooftop with views of downtown LA and Hollywood Hills.
Craig's,West Hollywood,American Fine Dining,"8826 Melrose Ave, West Hollywood, CA 90069",(310) 276-1900,events@craigs.la,https://craigs.la/,https://www.yelp.com/biz/craigs-west-hollywood,"Not publicly detailed",,Celebrity hotspot. Old Hollywood glamour.
La Boheme,West Hollywood,New American / Mediterranean,"8400 Santa Monica Blvd, West Hollywood, CA 90069",(323) 848-2360,,https://www.labohemeweho.com/,https://www.yelp.com/biz/la-boh%C3%A8me-west-hollywood-3,"Outdoor (150 seated/400 cocktail); Main (120 seated/200 cocktail); Garden (50 seated/70 cocktail); Lounge (30 seated/80 cocktail)","Up to 400 cocktail","Most romantic restaurant in LA. 30+ year WeHo staple."
Cecconi's West Hollywood,West Hollywood,Northern Italian,"8764 Melrose Ave, West Hollywood, CA 90069",(310) 432-2000,,https://www.cecconisrestaurants.com/west-hollywood/,https://www.yelp.com/biz/cecconis-west-hollywood-west-hollywood,"Butterfly Room (private dining); Full venue hire","Call for details",4.7 stars OpenTable (5129 diners).
LAVO Los Angeles,West Hollywood,Coastal Italian,"9201 Sunset Blvd, Ste 100, West Hollywood, CA 90069",(310) 817-6441,laevents@taogroup.com,https://taogroup.com/venues/lavo-los-angeles/,https://www.yelp.com/biz/lavo-west-hollywood-3,"Private room seats 65; 250-seat restaurant with retractable roof","250 seats; 65 (private)",Tao Group. Triple-height ceilings.
SUR Restaurant & Lounge,West Hollywood,International / Mediterranean,"606 N Robertson Blvd, West Hollywood, CA 90069",(310) 289-2824,specialevent@surrestaurant.com,https://www.surrestaurant.com/,https://www.yelp.com/biz/sur-restaurant-and-lounge-west-hollywood-3,"VIP Room (8-14/15-20); Kimono Room (16-36/30-50); Combined (50/95); Restaurant Buyout (130/200); Lounge Buyout (140/300)","Up to 300 (lounge buyout)",Famous from Vanderpump Rules.
Crossroads Kitchen,West Hollywood,Vegan Mediterranean,"8284 Melrose Ave, Los Angeles, CA 90046",(323) 782-9245,events@crossroadskitchen.com,https://www.crossroadskitchen.com/,https://www.yelp.com/biz/crossroads-kitchen-los-angeles-5,"Private/semi-private space for 8+ guests",,Chef Tal Ronnen. Called best vegan chef by Oprah.
Uchi West Hollywood,West Hollywood,Japanese / Sushi,"9001 Santa Monica Blvd, Ste 101, West Hollywood, CA 90069",(310) 708-4808,,https://uchi.uchirestaurants.com/location/west-hollywood/,https://www.yelp.com/biz/uchi-west-hollywood-west-hollywood,"Private dining available; parties 11+ book via website",,James Beard Award-winning Chef Tyson Cole.
Casa Madera,West Hollywood,Coastal Mexican Fine Dining,"8440 Sunset Blvd, West Hollywood, CA 90069",(310) 878-0814,events@noble33.com,https://www.thecasamadera.com/,https://www.yelp.com/biz/casa-madera-west-hollywood-west-hollywood-2,"Private Dining Room (12); Full buyout (76 seated/114 standing)","76 seated / 114 standing",Noble 33. 8000 sq ft Mayan Riviera-inspired.
Olivetta,West Hollywood,Coastal European,"9010 Melrose Ave, West Hollywood, CA 90069",(310) 307-3932,events@olivetta.la,https://www.olivetta.la/,https://www.yelp.com/biz/olivetta-west-hollywood-2,"Contact events@olivetta.la","150-seat bungalow",Chef Michael Fiorelli.
The Little Door,West Hollywood / Beverly Grove,Contemporary French,"8164 W 3rd St, Los Angeles, CA 90048",(323) 951-1210,,https://thelittledoor.com/,https://www.yelp.com/biz/the-little-door-los-angeles,"Piano Room (20); Blue Room (35); two outdoor gardens (24 and 60). Events $3250-$4250 for 50.",~150 max sit-down,4.8 stars OpenTable. 1hr 45min table reservation.
Spago Beverly Hills,Beverly Hills,New American / California,"176 N Canon Dr, Beverly Hills, CA 90210",(310) 385-0880,,https://wolfgangpuck.com/restaurants/spago-beverly-hills/,https://www.yelp.com/biz/spago-beverly-hills-beverly-hills-2,"PDR 1 (2-24); PDR 2 (12-60); PDR 1+2 (40-88); PDR 1+2+Gallery (60-140); Full buyout (100-300 seated/550 reception)","Up to 550 (full buyout)",2 Michelin Stars. Wolfgang Puck flagship. Retractable roof patio.
CUT by Wolfgang Puck,Beverly Hills,Steakhouse Fine Dining,"9500 Wilshire Blvd, Beverly Hills, CA 90212",(310) 276-8500,bwcatering@fourseasons.com,https://wolfgangpuck.com/restaurants/cut-beverly-hills/,https://www.yelp.com/biz/cut-beverly-hills-beverly-hills-3,"Petit CUT (24/30); Rodeo Dr. Tier (25); CUT Lounge (60/100); Full buyout (160/300)","Up to 300 (full buyout)",1 Michelin Star. Beverly Wilshire hotel.
Mastro's Steakhouse,Beverly Hills,Steakhouse / Seafood,"246 N Canon Dr, Beverly Hills, CA 90210",(310) 888-8782,,https://www.mastrosrestaurants.com/location/mastros-steakhouse-beverly-hills/,https://www.yelp.com/biz/mastros-steakhouse-beverly-hills-2,"2 to 500 guests. Napa Wine Room. AV capabilities.",Up to 500 (full buyout),Live music nightly. 1430 sq ft private space.
Steak 48,Beverly Hills,Steakhouse Fine Dining,"9680 Wilshire Blvd, Beverly Hills, CA 90212",(310) 388-0048,guestservicesbeverlyhills@steak48.com,https://www.steak48.com/steakhouses/beverly-hills/,https://www.yelp.com/biz/steak-48-beverly-hills-2,"Up to 65 guests. Chef+Canon Room; Dominick Room; Whiskey Table.",65 (private dining),4.8 stars OpenTable.
Funke,Beverly Hills,Italian / Pasta Fine Dining,"9388 S Santa Monica Blvd, Beverly Hills, CA 90210",(424) 279-9796,"info@funkela.com / events@funkela.com",https://www.funkela.com/,https://www.yelp.com/biz/funke-beverly-hills,"Parties 9+: events@funkela.com. Rooftop Bar Funke.",3 stories,Chef Evan Funke. 1930s Art Deco building.
Avra Beverly Hills,Beverly Hills,Greek / Seafood,"233 N Beverly Dr, Beverly Hills, CA 90210",(310) 734-0841,BHEvents@theavragroup.com,https://theavragroup.com/avra-beverly-hills,https://www.yelp.com/biz/avra-beverly-hills-beverly-hills-4,"Wine Villa (36); Art Villa (80); Beverly Room (22); Full buyout (500)","500 (full buyout)",11000 sq ft. MICHELIN Guide. Contact Mitzi DeMyers.
