Restaurant Name,Neighborhood,Cuisine Type,Address,Website,Phone,Email,Yelp URL,Private Dining / Event Space / Buyout Info,Approximate Capacity,Notes
"Nobu Malibu","Malibu (Carbon Beach / PCH)","Japanese / Sushi","22706 Pacific Coast Hwy, Malibu, CA 90265","https://www.noburestaurants.com/malibu","(310) 317-9140","malibu@noburestaurants.com","https://www.yelp.com/biz/nobu-malibu-malibu-4","6,000 sq ft for full restaurant buyout. Private Fireplace Patio (most sought-after space). Private Dining Room seats 24. Fireplace Patio seats 50. Combined PDR + Patio seats 80. Must book 3 months in advance. F&B minimums start at $3,000. 5% Events Fee added.","80 (combined private spaces); full buyout available","Crown jewel of Malibu dining. Chef Nobu Matsuhisa. Reopened early 2026. Reservations by phone only, 1 month in advance. Mon-Thu & Sun 12-10pm; Fri-Sat 12-11pm."
"Geoffrey's Malibu","Malibu (PCH)","California / Mediterranean / Seafood","27400 Pacific Coast Hwy, Malibu, CA 90265","https://www.geoffreysmalibu.com","(310) 457-1519","","https://www.yelp.com/biz/geoffreys-malibu-malibu","Semi-Private Area for 2-30 guests. Partial Restaurant (Patio, Garden, or Point) for 15-50 guests with prix fixe menus. Full Restaurant Buyout for 60+ guests (max 180 sit-down dinner, 200 tray-passed). Wedding ceremonies available.","180 (sit-down); 200 (reception)","Est. 1948, formerly Holiday House. Frank Sinatra & Marilyn Monroe were regulars. Richard Neutra-designed. Panoramic ocean views. Mon-Thu 11:30am-8:30pm; Fri 11:30am-9pm; Sat 10am-9pm; Sun 10am-8:30pm."
"Mastro's Ocean Club","Malibu (PCH near Topanga)","Seafood / Steakhouse","18412 Pacific Coast Hwy, Malibu, CA 90265","https://www.mastrosrestaurants.com/location/mastros-ocean-club-malibu/","(310) 454-4357","","https://www.yelp.com/biz/mastros-ocean-club-malibu-4","The Mastro Room (private dining overlooking Pacific). Upper Terrace (retractable roof, lounge). Lower Terrace (fire features, heated floors). Upper + Lower terraces combinable. Full restaurant buyout available. Up to 190 guests for events.","200 (max); 120 (main dining room)","Upscale dress code enforced. Mon-Thu 5-9pm; Fri 5-10pm; Sat 11am-2:30pm & 4-10pm; Sun 11am-2:30pm & 4-9pm. 4.8 stars on OpenTable."
"Lucky's Malibu","Malibu (Cross Creek / Country Mart)","Steakhouse / American","3835 Cross Creek Rd, Ste 18, Malibu, CA 90265","https://www.luckys-steakhouse.com/malibu","(310) 317-0099","","https://www.yelp.com/biz/luckys-malibu-malibu","Contact restaurant for private dining and events.","","Old-Hollywood atmosphere. Part of Lucky's chain (Montecito, Soho, East Hampton). Lunch Mon-Fri 11:30am-3pm; Dinner Sun-Thu 5-9pm, Fri-Sat til 10pm; Brunch Sat 11:30am-10pm, Sun 10am-3pm."
"The Sunset Restaurant","Malibu (Zuma Beach / Point Dume)","New American / Seafood","6800 Westward Beach Rd, Malibu, CA 90265","https://thesunsetrestaurant.com","(310) 589-1007","","https://www.yelp.com/biz/the-sunset-restaurant-malibu","Private rooms for 30, 35, and 70 guests. Over 70 guests requires full buyout. Private patio seats 36. Corporate events, seminars, rehearsal dinners, weddings, filming, car events.","70 (private rooms); full buyout for larger","Historic beach bungalow on Zuma Beach. Mon-Thu 11:45am-8:30pm; Fri 11:45am-9:30pm; Sat 10:30am-9:30pm; Sun 10:30am-8:30pm."
"Duke's Malibu","Malibu (PCH)","Hawaiian / Seafood / American","21150 Pacific Coast Hwy, Malibu, CA 90265","https://www.dukesmalibu.com","(310) 317-0777","","https://www.yelp.com/biz/dukes-malibu-malibu-2","Two private event rooms with ocean views. One intimate space for up to 24 (social or boardroom). Plated, buffet, or family-style menus. Private 4-BR/3-BA apartment for 8 guests with ocean-front deck.","24 (private room); full buyout available","TEMPORARILY CLOSED as of Feb 2026 (Barefoot Bar reopening soon). Inspired by Duke Kahanamoku. Opened 1996. When open: Mon-Thu 11:30am-9pm; Fri-Sat 11:30am-9:30pm; Sun 10am-9pm."
"Paradise Cove Beach Cafe","Malibu (Paradise Cove / PCH)","American / Seafood","28128 Pacific Coast Hwy, Malibu, CA 90265","https://www.paradisecovemalibu.com","(310) 457-2503","","https://www.yelp.com/biz/paradise-cove-beach-cafe-malibu-7","Private parties and events welcome; fill out online form. Under 25 guests, make reservation on OpenTable or call. Private beach, BBQ pits, beach cabanas available.","Varies","Only Malibu restaurant literally on the beach with private cove. Beach hours 8am-sundown; Cafe 8am-closing. Free beach parking with dining."
"Broad Street Oyster Company","Malibu (PCH near Civic Center)","Seafood / Raw Bar","23359 Pacific Coast Hwy, Malibu, CA 90265","https://www.broadstreetoyster.com","(424) 644-0131","","https://www.yelp.com/biz/broad-street-oyster-company-malibu-2","","","Est. 2017 by Christopher Tompkins. Famous lobster rolls, oysters, seafood platters. Planted permanent roots in Malibu 2019. Mon-Sun 11am-8pm."
"Clark's Oyster Bar","Malibu (Cross Creek Ranch / Civic Center)","Seafood / Raw Bar / American","23465 Civic Center Way, Ste 210, Malibu, CA 90265","https://www.clarksoysterbar.com/locations/malibu","(310) 879-8508","","https://www.yelp.com/biz/clarks-oyster-bar-malibu","","","Originally from Austin (est. 2012). Freshly shucked oysters, lobster rolls, crudo, caviar, signature burger. Lunch daily 11:30am-3pm; Happy Hour Mon-Fri 3-5pm; Dinner Sun-Thu 4-9pm, Fri-Sat 4-10pm."
"Malibu Farm Restaurant","Malibu (Malibu Pier)","Farm-to-Table / Californian","23000 Pacific Coast Hwy, Malibu, CA 90265","https://www.malibu-farm.com/malibu-pier/","(310) 456-8850","","https://www.yelp.com/biz/malibu-farm-restaurant-malibu","Prefix events for small groups. Private events in restaurant dining room. Off-site events and catering available.","","Full-service restaurant at start of pier with full bar. Organic, locally-sourced. Mon-Thu 9am-7pm; Fri-Sun 9am-8pm. Est. 2013."
