Restaurant Name,Neighborhood,Cuisine Type,Address,Phone,Email,Website,Yelp URL,Private Dining / Event Info,Approximate Capacity,Notes
Park's BBQ,Koreatown,Korean BBQ,"955 S Vermont Ave, Los Angeles, CA 90006",(213) 380-1717,,https://parksbbq.com/,https://www.yelp.com/biz/parks-bbq-los-angeles,"Contact directly at (213) 380-1717; no formal private dining program advertised",,Michelin Guide recognized. LA Times Food Hall of Fame 2023. Gold standard for Korean BBQ in LA.
Hae Jang Chon Korean BBQ,Koreatown,Korean BBQ (AYCE),"3821 W 6th St, Los Angeles, CA 90020",(213) 389-8777,,https://www.haejangchon.com/,https://www.yelp.com/biz/hae-jang-chon-los-angeles-2,"No formal private rooms; good for large groups",Large restaurant,Established 2002. AYCE pricing: Lunch $29.99-$37.99; Dinner $43.99.
Genwa Korean BBQ,Mid-Wilshire,Korean BBQ (upscale),"5115 Wilshire Blvd, Los Angeles, CA 90036",(323) 549-0760,,https://www.menugenwa.com,https://www.yelp.com/biz/genwa-korean-bbq-mid-wilshire-los-angeles,"Recommended for group dining; contact directly",,Multiple locations (DTLA, Beverly Hills). Smokeless grills. Opened 2008.
Chosun Galbee,Koreatown,Korean BBQ,"3330 W Olympic Blvd, Los Angeles, CA 90019",(323) 734-3330,,https://www.chosungalbee.com/,https://www.yelp.com/biz/chosun-galbee-los-angeles,"Contact directly",,Serving authentic Korean BBQ for over two decades.
Kang Ho Dong Baekjeong,Koreatown,Korean BBQ,"3465 W 6th St, Ste 20, Los Angeles, CA 90020",(213) 384-9678,,https://www.baekjeongkbbq.com/,https://www.yelp.com/biz/kang-ho-dong-baekjeong-los-angeles,"Contact directly; accommodates groups",Large restaurant,Named after Korean celebrity Kang Ho Dong.
Soot Bull Jip,Koreatown,Korean BBQ (charcoal),"3136 W 8th St, Los Angeles, CA 90005",(213) 387-3865,,,https://www.yelp.com/biz/soot-bull-jip-los-angeles,"None advertised",Small/medium,One of the only KBBQ spots using real charcoal grills. Cash-only.
Quarters Korean BBQ,Koreatown,Korean BBQ,"3465 W 6th St, Los Angeles, CA 90020",(213) 365-4282,,https://www.quarterskoreanbbq.com/,https://www.yelp.com/biz/quarters-korean-bbq-los-angeles,"Contact directly",,Top-rated on Yelp for KBBQ in Koreatown.
Soowon Galbi KBBQ,Koreatown,Korean BBQ,"856 S Vermont Ave, Los Angeles, CA 90005",(213) 365-9292,,https://soowongalbi.com/,https://www.yelp.com/biz/soowon-galbi-kbbq-restaurant-los-angeles-2,"Contact directly",,Specializes in beef cuts. Authentic grill experience.
Ahgassi Gopchang,Koreatown,Korean BBQ (offal/intestines),"3454 W 6th St, Los Angeles, CA 90020",(213) 380-6482,,,https://www.yelp.com/biz/ahgassi-gopchang-los-angeles,"Contact directly",Massive space,Name-checked by BTS. Specializes in roasted beef intestines. Open until 1am weekends.
Kobawoo House,Koreatown,Korean (bossam),"698 S Vermont Ave, Ste 109, Los Angeles, CA 90005",(213) 389-7300,,https://kobawoola.com/,https://www.yelp.com/biz/kobawoo-house-los-angeles-2,"Contact directly",,Open since 1985. Koreatown staple famous for bossam.
Soban,Koreatown,Korean (banchan),"4001 W Olympic Blvd, Los Angeles, CA 90019",(323) 936-9106,,https://www.sobanla.com/,https://www.yelp.com/biz/soban-los-angeles-2,"Contact directly",,Famous for 16 banchan and slow-braised black cod. Jonathan Gold's 101; Michelin Guide.
Gebang Sikdang,Koreatown,Korean (raw crab),"3121 W Olympic Blvd, Ste 103, Los Angeles, CA 90006",(213) 674-7244,,https://visitkoreatown.org/gebang-sikdang/,https://www.yelp.com/biz/gebang-sikdang-los-angeles,"Contact directly",,Chain from Seoul specializing in gejang (raw crab).
Sun Nong Dan,Koreatown,Korean (braised short rib soup),"710 S Western Ave, Los Angeles, CA 90005",(213) 264-3303,,https://sunnongdanusa.com/,https://www.yelp.com/biz/sun-nong-dan-los-angeles-5,"Contact directly",,Famous for galbi jjim tang. Additional locations in Sawtelle and Rowland Heights.
Guelaguetza,Koreatown,Oaxacan Mexican,"3014 W Olympic Blvd, Los Angeles, CA 90006",(213) 427-0608,events@ilovemole.com,https://www.ilovemole.com/,https://www.yelp.com/biz/guelaguetza-restaurante-los-angeles,"Yes -- banquet and private event facilities; email events@ilovemole.com",Up to 85 for private events,James Beard Award winner. Established 1994. Six varieties of mole. Michelin Guide listed.
The Prince,Koreatown,Korean-American / Bar,"3198 W 7th St, Los Angeles, CA 90005",(213) 389-1586,,,https://www.yelp.com/biz/the-prince-los-angeles,"Contact directly; popular filming location",Medium,Iconic red interior featured in Mad Men and New Girl. Unchanged since the 1970s.
Antico Nuovo,Koreatown,Italian (upscale pasta),"4653 Beverly Blvd, Los Angeles, CA 90004",(323) 510-3093,,https://www.anticonuovo-la.com/,https://www.yelp.com/biz/antico-nuovo-los-angeles,Banquet table for up to 12; full buyout seats up to 54,54 max (full buyout),Intimate neighborhood Italian spot that is secretly a luxurious pasta palace.
Openaire (The LINE Hotel),Koreatown,Californian,"3515 Wilshire Blvd, Los Angeles, CA 90010",(213) 381-7411,,https://www.thelinehotel.com/los-angeles/restaurants-bars/,https://www.yelp.com/biz/openaire-los-angeles,"Yes -- variety of event spaces for all sizes",Varies,By two-Michelin star chef Josiah Citrin. Poolside oasis. Seasonal Californian cuisine.
Republique,Mid-Wilshire / Miracle Mile,French-inspired,"624 S La Brea Ave, Los Angeles, CA 90036",(310) 362-6115,events@republiquela.com,https://republiquela.com/,https://www.yelp.com/biz/republique-los-angeles,"Yes -- Kitchen Tables (32); Dining Room (70 seated/80 standing); Patio (65 seated/100 standing); Mezzanine (30 seated/45 standing); Alcove (8); Full Buyout","Varies by space; full buyout available",Historic 1929 building built by Charlie Chaplin. By Chefs Walter & Margarita Manzke.
Fanny's (Academy Museum),Mid-Wilshire,Californian / American,"6067 Wilshire Blvd, Los Angeles, CA 90036",(323) 930-3080,"events@fannysla.com / info@fannysla.com",https://fannysla.com/,https://www.yelp.com/biz/fannys-los-angeles,"Yes -- Cozy Nook (8); Mezzanine (overlooks dining); Corner Room (38 seated/50 standing); Chef's Table (24); Patio (38 seated/80 standing); Full Buyout (175 seated/300 standing); Museum Top Floor (600)","175 seated/300 standing buyout; 600 museum",Named after Fanny Brice. 10000 sq ft. Wolfgang Puck catering for events.
Descanso,Mid-Wilshire,Modern Mexican,"5773 Wilshire Blvd, Los Angeles, CA 90036",(213) 672-2444,info@descansorestaurantla.com,https://www.descansorestaurantla.com/,https://www.yelp.com/biz/descanso-restaurant-los-angeles-2,"Yes -- 9000 sq ft venue; two outdoor patios; Plancha Room; up to 500 guests","250 regular; up to 500 for events",First plancha-style Mexican restaurant of its kind.
M Grill Brazilian Steakhouse,Mid-Wilshire,Brazilian Steakhouse,"3832 Wilshire Blvd, Los Angeles, CA 90010",(213) 772-6384,,https://m-grill.com/,https://www.yelp.com/biz/m-grill-los-angeles,"Yes -- Champagne Room for up to 20 guests with 75in TV ($120+/person)","Champagne Room: 20",Near Wiltern Theatre. Continuous tableside meat service. Award-winning wine list.
Osteria Mozza,Hancock Park,Italian (fine dining),"6602 Melrose Ave, Los Angeles, CA 90038",(323) 297-0100,"reservations@mozza-la.com / events@mozza-la.com",https://www.osteriamozza.com/,https://www.yelp.com/biz/osteria-mozza-los-angeles,"Yes -- Primo Ministro Room (30); Partial buyout (48 seated); Full buyout (150 seated/200 standing)","150 seated / 200 standing (full buyout)",By Nancy Silverton. Michelin-starred. Famous mozzarella bar.
Pizzeria Mozza,Hancock Park,Italian (pizza/pasta),"641 N Highland Ave, Los Angeles, CA 90036",(323) 297-0101,events@mozza-la.com,https://www.pizzeriamozza.com/,https://www.yelp.com/biz/pizzeria-mozza-los-angeles-4,"Yes -- Jack Warner Room (20); Outdoor (50 seated)","20 (private room) / 50 (outdoor)",By Nancy Silverton. Max party size of 6 for regular dining.
Chi Spacca,Hancock Park,Italian (meat-focused),"6610 Melrose Ave, Los Angeles, CA 90038",(323) 297-0100,events@mozza-la.com,https://www.chispacca.com/,https://www.yelp.com/biz/chi-spacca-los-angeles,"Yes -- up to 20 at one long table; up to 36 seated; up to 50 standing","36 seated / 50 standing",Part of Mozza restaurant group.
Petit Trois L'Original,Hancock Park,French Bistro,"718 N Highland Ave, Los Angeles, CA 90038",(323) 468-8916,events@petittrois.com,https://www.petittrois.com/,https://www.yelp.com/biz/petit-trois-los-angeles-16,"Yes -- private room available; events@petittrois.com or (213) 373-8007","21 counter seats in main; private room TBD",By chef Ludo Lefebvre. James Beard nominated. Bib Gourmand.
Osteria Mamma,Larchmont Village,Italian (trattoria),"5732 Melrose Ave, Los Angeles, CA 90038",(323) 284-7060,,https://osteriamamma.com/,https://www.yelp.com/biz/osteria-mamma-los-angeles,"Contact directly",,Family-run trattoria since 2010 by Mamma Loredana. 15 pastas on menu.
The Larchmont,Larchmont Village,French American Bistro,Larchmont Village Los Angeles,,,,,Yes -- private room; catering; off-site events; family-style or prix-fixe; open bar or wine pairings,,Located in a charming two-story craftsman home. Farm-to-table. Rated 4.4 on OpenTable.
Max & Helen's,Larchmont Village,American (elevated diner),"127 N Larchmont Blvd, Los Angeles, CA 90004",,info@maxandhelens.com,https://www.maxandhelens.com/,https://www.yelp.com/biz/max-and-helen-s-los-angeles-2,Contact directly,,By Phil Rosenthal (Somebody Feed Phil) and Chef Nancy Silverton. Walk-in only.
Canter's Deli,Fairfax District,Jewish Deli,"419 N Fairfax Ave, Los Angeles, CA 90036",(323) 651-2030,,https://www.cantersdeli.com/,https://www.yelp.com/biz/canters-deli-los-angeles-5,"No private rooms. Catering available. Kibitz Room is a bar/cocktail lounge.",Multiple dining areas,LA landmark since 1931. Open nearly 24 hours. Family-owned 4 generations.
Jon & Vinny's (Fairfax),Fairfax District,Italian,"412 N Fairfax Ave, Los Angeles, CA 90036",(323) 334-3369,,https://www.jonandvinnys.com/,https://www.yelp.com/biz/jon-and-vinnys-fairfax-los-angeles-4,"Contact directly at (323) 334-3369",,By Jon Shook and Vinny Dotolo. Open 8am-10pm. Reservations on Resy.
El Coyote Cafe,Fairfax District,Mexican,"7312 Beverly Blvd, Los Angeles, CA 90036",(323) 939-2255,,https://elcoyotecafe.com/,https://www.yelp.com/biz/el-coyote-cafe-los-angeles,"Eight separate rooms; contact directly","375 seats across eight rooms plus patio",Iconic LA establishment since 1931. ~1000 meals served daily.
Angelini Osteria,Fairfax District,Italian (fine dining),"7313 Beverly Blvd, Los Angeles, CA 90036",(323) 297-0070,info@angeliniosteria.com,https://www.angelinibeverly.com/,https://www.yelp.com/biz/angelini-osteria-los-angeles,"Private dining via adjacent Angelini ALTA. Catering available.",,By Chef Gino Angelini since 2001. Michelin Plate 2022. Gold standard for Italian in LA.
