Restaurant Name,Neighborhood,Cuisine Type,Address,Phone,Email,Website,Yelp URL,Private Dining / Event Info,Approximate Capacity,Notes
Bestia,Arts District,Italian,2121 E 7th Pl Los Angeles CA 90021,(213) 514-5724,events@bestiala.com,https://bestiala.com/,https://www.yelp.com/biz/bestia-los-angeles,"Does not have dedicated private rooms but accommodates large parties; email events@bestiala.com for event inquiries; complete buyouts may be possible","Main dining room seats ~100+; multiple bar/counter areas",Michelin recommended; opened 2012; credited with kickstarting Arts District dining scene; 4% team charge on bill; reservations essential; The Infatuation rating 9.1
Bavel,Arts District,Middle Eastern,500 Mateo St Los Angeles CA 90013,(213) 232-4966,events@baveldtla.com,https://baveldtla.com/,https://www.yelp.com/biz/bavel-los-angeles-3,"Large parties 9-14 in main dining room; up to 26 on heated covered patio; full/partial buyouts for larger groups; daytime lunch buyouts available","Up to 26 seated patio; full buyout for larger groups",From Ori Menashe & Genevieve Gergis (Bestia team); The Infatuation rating 9.2; reservations via Resy/OpenTable; open Mon-Sun 5-11pm
Camphor,Arts District,French (Michelin-starred),923 E 3rd St Ste 109 Los Angeles CA 90013,(213) 626-8888,,https://www.camphor.la/,https://www.yelp.com/biz/camphor-los-angeles,"Contact restaurant directly for private event inquiries",,One Michelin star; Chef Max Boonthanakit; French bistro with South Asian influences; must-order gunpowder anchovies; reservations via Resy; closed Tue-Wed
Damian,Arts District,Mexican (Upscale),2132 E 7th Pl Los Angeles CA 90021,(213) 270-0178,,https://www.damiandtla.com/,https://www.yelp.com/biz/damian-los-angeles,"Private party bookings accepted; listed on EventUp as event/wedding venue; Michelin-level event experience",,Chef Enrique Olvera (Pujol/Cosme); The Infatuation rating 9.0; industrial-chic warehouse; reservations via Resy/OpenTable; closed Mon-Tue
Hayato,Arts District (ROW DTLA),Japanese Kaiseki (2 Michelin stars),1320 E 7th St Ste 126 Los Angeles CA 90021,(213) 395-0607,,https://hayatorestaurant.com/,https://www.yelp.com/biz/hayato-los-angeles-3,"Extremely intimate 7-seat counter; no private events due to size","7 seats total; one seating per night","Two Michelin stars; $450/person seasonal kaiseki; reservations via Tock only; Chef Brandon Go; non-transferable reservations; limited to once/month per guest; #1 LA Times 101 Best 2022"
Kato,Arts District (ROW DTLA),Taiwanese Tasting Menu (Michelin-starred),777 S Alameda St Bldg 1 Ste 114 Los Angeles CA 90021,(213) 797-5770,,https://www.katorestaurant.com/,https://www.yelp.com/biz/kato-los-angeles,"Contact restaurant for large party/private event inquiries; dining room and bar seating available",,One Michelin star; Chef Jon Yao; 12-course tasting menu ~$325; James Beard Best Chef California 2025; 3x #1 LA Times 101; corkage $75/bottle; 18% fair wage fee added
Camelia,Arts District,French-Japanese Bistro,1850 Industrial St Los Angeles CA 90021,(213) 800-9750,contact@cameliadtla.com,https://cameliadtla.com/,https://www.yelp.com/biz/camelia-los-angeles,"Contact restaurant for event inquiries",,From Charles Namba & Courtney Kaplan (Tsubaki/OTOTO); The Infatuation rating 8.8; reservations via OpenTable up to 21 days out; bar seats first-come; valet $12
Baroo,Arts District,Modern Korean,905 E 2nd St Ste 109 Los Angeles CA 90012,(213) 221-7967,,https://www.baroolosangeles.com/,https://www.yelp.com/biz/baroo-los-angeles-3,"Contact restaurant for inquiries",,LA Times Restaurant of the Year 2024; Chefs Kwang Uh & Mina Park; fermentation-focused tasting menu; reservations via Resy; located in Garey Building; valet Fri-Sat
Hojokban,Arts District,Modern Korean,734 E 3rd St Los Angeles CA 90013,(213) 785-3400,hello@hojokbanla.com,https://hojokban.com/los-angeles/home,https://www.yelp.com/biz/hojokban-los-angeles,"Contact restaurant for large party inquiries",,Seoul import (founded 2019); also in NYC; opened LA 2025; creative riffs on Korean classics; valet $18; walk-ins welcome; bar first-come first-served; reservations encouraged
Berenjak,Arts District,Persian/Iranian,1010 S Santa Fe Ave Los Angeles CA 90021,(213) 205-1101,,https://berenjak.com/locations/downtown-los-angeles/,https://www.yelp.com/biz/berenjak-los-angeles,"Beautiful outdoor garden space and candlelit interior; contact for private events",,London-born Iranian restaurant; Michelin Bib Gourmand; located in Soho Warehouse; open to public and Soho House members; book via website or Soho app; valet available; closed Mon & Sun
Manuela,Arts District,New American / Farm-to-Table,907 E 3rd St Los Angeles CA 90013,(323) 849-0480,,https://manuela-la.com/,https://www.yelp.com/biz/manuela-los-angeles-2,"Private Dining Room (glasshouse seating 14); Courtyard with Hauser & Wirth art views; Garden (most popular event space); Full Restaurant Buyout available; email events team for 12+ guests","14 seated in private dining room; courtyard and garden for larger events; full buyout available",Located in Hauser & Wirth arts complex; Chef Kris Tominaga; Wine Spectator Award; commissioned art by Paul McCarthy/Mark Bradford; reservations via OpenTable
Girl & the Goat,Arts District,New American,555-3 Mateo St Ste 300 Los Angeles CA 90013,(213) 799-4628,,https://www.girlandthegoat.com/los-angeles,https://www.yelp.com/biz/girl-and-the-goat-los-angeles-2,"Private dining room (20 guests); Art corridor (40 guests); Terrace (25 guests); Patio (36 guests); work with events team for custom menus","20-40 seated depending on space",Chef Stephanie Izard (Top Chef winner / James Beard Award); first LA expansion of Chicago original; Sunday brunch; reservations via OpenTable
Yangban,Arts District,Modern Korean-American,712 S Santa Fe Ave Los Angeles CA 90021,(213) 866-1987,info@yangbanla.com,https://yangbanla.com/,https://www.yelp.com/biz/yangban-society-los-angeles,"Email info@yangbanla.com for large party reservations and private events",,Chefs Katianna & John Hong; Bon Appetit 10 Best New Restaurants; James Beard recognized; underwent interior overhaul; check website for current status (Yelp showed temporary closure)
