region_id,name,neighborhood,cuisine_type,address,phone,email,website,yelp_url,private_dining_info,approximate_capacity,notes
1,Union Restaurant,Old Town Pasadena,Italian / New American,"37 E Union St, Pasadena, CA 91103",(626) 795-5841,,https://www.unionpasadena.com/,https://www.yelp.com/biz/union-pasadena,Contact restaurant directly,~60 seats,Michelin Bib Gourmand. All pasta made in-house.
1,Agnes Restaurant & Cheesery,Old Town Pasadena,New American / Cheese-focused,"40 W Green St, Pasadena, CA 91105",(626) 389-3839,saycheese@agnesla.com,https://www.agnesla.com/,https://www.yelp.com/biz/agnes-restaurant-and-cheesery-pasadena,Contact restaurant for private events,~80 seats,Michelin Guide Recommended 2024. Former 1922 fire station horse stable.
1,The Arbour,South Lake Avenue Pasadena,New American / Farm-to-Table,"527 S Lake Ave, Ste 120, Pasadena, CA 91101",(626) 396-4925,info@thearbourpasadena.com,https://www.thearbourpasadena.com/,https://www.yelp.com/biz/the-arbour-pasadena-2,Contact restaurant,~60 seats,Chef Ian Gresik. Known for spicy beef chili candle appetizer.
1,The Raymond 1886,South Pasadena border,New American,"1250 S Fair Oaks Ave, Pasadena, CA 91105",(626) 441-3136,info@theraymond.com,https://theraymond1886.com/,https://www.yelp.com/biz/the-raymond-1886-pasadena,Yes -- Grand Patio (70 seated/100 cocktail); Fireside Terrace (40/50); Cactus Garden (25/35); 1886 Bar (25); Sunroom (25/35),Up to ~100 cocktail,Historic property. Brunch events $65-85/pp; dinner $85-110/pp.
1,Arroyo Chop House,Arroyo Parkway Pasadena,Steakhouse (USDA Prime),"536 S Arroyo Pkwy, Pasadena, CA 91105",(626) 577-7463,party@arroyochophouse.com,https://www.arroyochophouse.com/,https://www.yelp.com/biz/arroyo-chop-house-pasadena,Yes -- Arroyo Room; Prime Room; Covered Patio; Combined up to 80,Up to 80,40+ year Pasadena institution. Also available for film/TV location shoots.
1,Alexander's Steakhouse,Downtown Pasadena,Fine Dining Steakhouse / Japanese,"111 N Los Robles Ave, Pasadena, CA 91101",(626) 486-1111,contact.pas@alexanderssteakhouse.com,https://alexanderssteakhouse.com/pasadena/,https://www.yelp.com/biz/alexanders-steakhouse-pasadena-pasadena-3,Yes -- West Room; East+West Combined; Patio; Front Dining Room; Full Buyout,Full buyout available,20 years of Wagyu mastery. Pioneers of authentic Wagyu in California.
1,Cafe Santorini,Old Town Pasadena,Mediterranean,"64 W Union St, Pasadena, CA 91103",(626) 564-4200,,https://cafesantorini.com/,https://www.yelp.com/biz/caf%C3%A9-santorini-pasadena-2,Rooftop patio available for events,~120 (indoor + rooftop),Open since 1993. Romantic rooftop patio dining.
1,Bone Kettle,Old Town Pasadena,Southeast Asian,"67 N Raymond Ave, Pasadena, CA 91103",(626) 765-3788,,https://www.bonekettle.com/,https://www.yelp.com/biz/bone-kettle-pasadena,Contact for semi-private options,~50 seats,Family-run. Famous for bone broth boiled 36 hours.
1,Celestino Ristorante & Bar,South Lake Avenue Pasadena,Italian,"141 S Lake Ave, Pasadena, CA 91101",(626) 795-4006,info@celestinopasadena.com,https://celestinopasadena.com/,https://www.yelp.com/biz/celestino-pasadena,Yes -- Garden View Room seats up to 55; no upcharge,55 (private room),20+ years. Drago restaurant family.
1,Dos Besos,Old Town Pasadena,Spanish (Tapas/Paella),"99 Union St, Pasadena, CA 91103",(626) 696-3741,dosbesospasadena@gmail.com,https://thedosbesos.com/,https://www.yelp.com/biz/dos-besos-pasadena,Contact for full buyout options,~30-40 seats,Chef Alejandro Llobet (Barcelona-born). 4.8/5 rating.
1,Howlin' Ray's,Arroyo Parkway Pasadena,Nashville Hot Chicken,"800 S Arroyo Pkwy, Pasadena, CA 91105",(213) 935-8399,hello@howlinrays.com,https://howlinrays.com/,https://www.yelp.com/biz/howlin-rays-pasadena-3,Not typically available; casual counter-service,~80 seats,Five spice levels. Second location (original in Chinatown).
1,Colette,East Pasadena,Cantonese / Dim Sum,"975 N Michillinda Ave, Pasadena, CA 91107",(626) 510-6286,info@colettepasadena.com,https://www.colettepasadena.com/,https://www.yelp.com/biz/colette-pasadena-2,Contact restaurant,~50 seats,Modern Californian twist on Cantonese dim sum.
1,Javier's,Old Town Pasadena,Elevated Mexican,"24 W Union St, Pasadena, CA 91103",(626) 773-3579,,https://www.javiersfinestfoods.com/pasadena,https://www.yelp.com/biz/javiers-pasadena-11,Contact restaurant; large space,~150 seats,Heritage elevated Mexican cuisine.
1,Fogo de Chao,Old Town Pasadena,Brazilian Steakhouse,"234 E Colorado Blvd, Pasadena, CA 91101",(626) 556-9222,pasadena@fogo.com,https://fogodechao.com/location/pasadena/,https://www.yelp.com/biz/fogo-de-ch%C3%A3o-brazilian-steakhouse-pasadena-2,Yes -- Private dining rooms and event spaces,~200+,Historic bank building. Expansive dining room.
1,Parkway Grill,Arroyo Parkway Pasadena,New American / California,"510 S Arroyo Pkwy, Pasadena, CA 91105",(626) 795-1001,party@theparkwaygrill.com,https://www.theparkwaygrill.com/,https://www.yelp.com/biz/parkway-grill-pasadena,Yes -- Grill Room (35); Atrium (20); Full Buyout (200),200 (full buyout),Wine Spectator Best Of since 1999. Live music nightly.
1,Bistro 45,South Lake Pasadena,New American / French,"45 S Mentor Ave, Pasadena, CA 91106",(626) 795-2478,bistro45restaurant@gmail.com,https://bistro45.com/,https://www.yelp.com/biz/bistro-45-pasadena,Yes -- Private party spaces and full catering,~100 seats,31+ years in 1939 Art Deco building.
1,Bacchus Kitchen + Wine Bar,Pasadena,American / Wine Bar,"1384 E Washington Blvd, Pasadena, CA 91104",(626) 594-6377,info@claudandco.com,https://www.bacchuskitchen.com/,https://www.yelp.com/biz/bacchus-kitchen-wine-bar-pasadena,Yes -- Private Room (30+); Patio (35+); Full Buyout (80+),80+ (full buyout),Private dining patio and buyout options.
1,Lunasia Dim Sum House,Old Town Pasadena,Dim Sum / Cantonese,"239 E Colorado Blvd, Pasadena, CA 91101",(626) 793-8822,cs@lunasiagroup.com,https://lunasiadimsum.com/,https://www.yelp.com/biz/lunasia-dim-sum-house-pasadena-4,Large space; contact for groups,~150 seats,Michelin Bib Gourmand. Second location (original in Alhambra).
1,IX Tapa Cantina,Old Town Pasadena,Mexican / Nightlife,"119 E Colorado Blvd, Pasadena, CA 91105",(626) 304-1000,admin@cantinaixtapa.com,https://cantinaixtapa.com/,https://www.yelp.com/biz/ixtapa-cantina-pasadena-2,Yes -- 7000+ sq ft; 2 full bars; available for private events,~300,Live music dancing salsa nights.
1,Pie 'n Burger,Pasadena,American Diner / Burgers,"913 E California Blvd, Pasadena, CA 91106",(626) 795-1123,,https://pienburger.com/,https://www.yelp.com/biz/pie-n-burger-pasadena-2,N/A (small classic diner),~40 seats,Since 1963. Iconic Pasadena institution near CalTech.
1,Panda Inn,East Pasadena,Chinese,"3488 E Foothill Blvd, Pasadena, CA 91107",(626) 793-7300,tan.lu@pandaRG.com,https://www.pandainn.com/,https://www.yelp.com/biz/panda-inn-pasadena-4,Banquet rooms available,~200 seats,Founded 1973 by Andrew Cherng. Original concept that led to Panda Express.
1,Porto's Bakery (Glendale),Downtown Glendale,Cuban Bakery / Cafe,"315 N Brand Blvd, Glendale, CA 91203",(818) 956-5996,contactus@portosbakery.com,https://www.portosbakery.com/,https://www.yelp.com/biz/portos-bakery-and-cafe-glendale,N/A (counter service),~100 seats,#1 place to eat in the US (Yelp). Established 1960.
1,Raffi's Place,Downtown Glendale,Middle Eastern / Persian,"211 E Broadway, Glendale, CA 91205",(818) 240-7411,,https://www.raffisplace.com/,https://www.yelp.com/biz/raffis-place-glendale-2,Reservations for 10+ people,~150 seats,Established 1993. No reservations for fewer than 10.
1,Carousel Restaurant,Downtown Glendale,Lebanese / Armenian,"304 N Brand Blvd, Glendale, CA 91203",(818) 246-7775,info@carouselrestaurant.com,https://carouselrestaurant.com/,https://www.yelp.com/biz/carousel-restaurant-glendale,Large space; contact for private events,~200 seats,20+ years. Also has a Hollywood location.
1,Damon's Steak House,Downtown Glendale,Steakhouse / Tiki,"317 N Brand Blvd, Glendale, CA 91203",(818) 507-1510,info@damonsglendale.com,https://www.damonsglendale.com/,https://www.yelp.com/biz/damons-steak-house-glendale,Large venue; tiki room for events,~200 seats,Since 1937. Vintage Tiki vibe.
1,Mini Kabob,Glendale,Armenian,"313 1/2 Vine St, Glendale, CA 91204",(818) 244-1343,,https://mini-kabob.com/,https://www.yelp.com/biz/mini-kabob-glendale,N/A (tiny takeout),~10 seats,LA Times 101 Best; NY Times Top 50 nationwide. Family-run.
1,Bacari GDL,The Americana Glendale,Mediterranean / Venetian,"757 Americana Way, Glendale, CA 91210",(323) 986-6763,events@bacari.us,https://www.eatwithbacari.com/gdl-events,https://www.yelp.com/biz/bacari-gdl-glendale-3,Yes -- Events available at GDL location,~120 seats,Chef Lior Hillel. Venetian-inspired small plates.
1,Bourbon Steak,Downtown Glendale,Fine Dining Steakhouse,"237 S Brand Blvd, Glendale, CA 91210",(818) 839-4130,events-la@bourbonsteak.com,https://michaelmina.net/,https://www.yelp.com/biz/bourbon-steak-glendale-13,Yes -- Fine dining private dining available,~150 seats,Chef Michael Mina. Classic Americana with world flavors.
